eval,best_fitness,best_cov,best_time,best_size,is_feasible,best_selected_tests,best_included_elements
1,-0.150000,17,20.4000,7,0,"t4 t11 t12 t16 t20 t22 t26","e1 e2 e3 e4 e5 e7 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
2,-0.150000,17,20.4000,7,0,"t4 t11 t12 t16 t20 t22 t26","e1 e2 e3 e4 e5 e7 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
3,-0.100000,18,22.7000,8,0,"t4 t6 t11 t12 t16 t20 t22 t26","e1 e2 e3 e4 e5 e6 e7 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
4,-0.100000,18,22.7000,8,0,"t4 t6 t11 t12 t16 t20 t22 t26","e1 e2 e3 e4 e5 e6 e7 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
5,-0.100000,18,22.7000,8,0,"t4 t6 t11 t12 t16 t20 t22 t26","e1 e2 e3 e4 e5 e6 e7 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
6,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
7,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
8,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
9,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
10,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
11,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
12,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
13,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
14,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
15,-0.050000,19,19.7000,8,0,"t4 t5 t6 t11 t12 t16 t20 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e17 e18 e19 e20"
16,0.900462,20,21.3000,9,1,"t4 t5 t6 t11 t12 t16 t20 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
17,0.907488,20,19.7000,9,1,"t4 t5 t11 t12 t14 t16 t20 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
18,0.907488,20,19.7000,9,1,"t4 t5 t11 t12 t14 t16 t20 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
19,0.907488,20,19.7000,9,1,"t4 t5 t11 t12 t14 t16 t20 t23 t26","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
20,0.910123,20,19.1000,9,1,"t4 t5 t11 t12 t14 t16 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
21,0.910123,20,19.1000,9,1,"t4 t5 t11 t12 t14 t16 t23 t26 t27","e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20"
